team,q1_wins,q1_losses,q1_games,q1_win_pct
Abilene Christian,0,2,2,0.0
Air Force,0,0,0,
Akron,0,1,1,0.0
Alabama,3,6,9,0.333
Alabama A&M,0,0,0,
Alabama State,0,0,0,
Albany,0,0,0,
Alcorn State,0,1,1,0.0
American,0,1,1,0.0
Appalachian State,0,0,0,
Arizona,8,2,10,0.8
Arizona State,2,6,8,0.25
Arkansas,4,5,9,0.444
Arkansas State,0,0,0,
Arkansas-Pine Bluff,0,0,0,
Army,0,1,1,0.0
Auburn,2,7,9,0.222
Austin Peay,0,0,0,
Ball State,0,0,0,
Baylor,0,9,9,0.0
Bellarmine,0,0,0,
Belmont,0,0,0,
Bethune-Cookman,0,1,1,0.0
Binghamton,0,0,0,
Boise State,0,0,0,
Boston College,0,3,3,0.0
Boston University,0,0,0,
Bowling Green,0,0,0,
Bradley,0,0,0,
Brigham Young,2,6,8,0.25
Brown,0,0,0,
Bryant,0,1,1,0.0
Bucknell,0,0,0,
Buffalo,0,0,0,
Butler,0,2,2,0.0
Cal Poly,0,0,0,
Cal State Bakersfield,0,0,0,
Cal State Fullerton,0,0,0,
Cal State Northridge,0,0,0,
California,1,3,4,0.25
California Baptist,0,1,1,0.0
Campbell,0,1,1,0.0
Canisius,0,0,0,
Central Arkansas,0,3,3,0.0
Central Connecticut State,0,0,0,
Central Michigan,0,0,0,
Charleston Southern,0,0,0,
Charlotte,0,0,0,
Chattanooga,0,0,0,
Chicago State,0,0,0,
Cincinnati,2,5,7,0.286
Clemson,1,4,5,0.2
Cleveland State,0,0,0,
Coastal Carolina,0,0,0,
Colgate,0,3,3,0.0
College of Charleston,0,0,0,
Colorado,0,7,7,0.0
Colorado State,0,0,0,
Columbia,0,1,1,0.0
Connecticut,4,1,5,0.8
Coppin State,0,0,0,
Cornell,0,1,1,0.0
Creighton,1,3,4,0.25
Dartmouth,0,1,1,0.0
Davidson,0,1,1,0.0
Dayton,0,1,1,0.0
Delaware,0,1,1,0.0
Delaware State,0,0,0,
Denver,0,1,1,0.0
DePaul,0,2,2,0.0
Detroit Mercy,0,1,1,0.0
Drake,0,0,0,
Drexel,0,0,0,
Duke,9,2,11,0.818
Duquesne,0,0,0,
East Carolina,0,2,2,0.0
East Tennessee State,0,1,1,0.0
East Texas A&M,0,1,1,0.0
Eastern Illinois,0,2,2,0.0
Eastern Kentucky,0,0,0,
Eastern Michigan,0,1,1,0.0
Eastern Washington,0,1,1,0.0
Elon,0,0,0,
Evansville,0,1,1,0.0
Fairfield,0,0,0,
FDU,0,0,0,
Florida,4,3,7,0.571
Florida A&M,0,0,0,
Florida Atlantic,0,0,0,
Florida Gulf Coast,0,1,1,0.0
Florida International,0,0,0,
Florida State,0,5,5,0.0
Fordham,0,0,0,
Fresno State,0,1,1,0.0
Furman,0,0,0,
Gardner-Webb,0,1,1,0.0
George Mason,0,0,0,
George Washington,0,1,1,0.0
Georgetown,0,3,3,0.0
Georgia,2,3,5,0.4
Georgia Southern,0,0,0,
Georgia State,0,0,0,
Georgia Tech,0,4,4,0.0
Gonzaga,2,2,4,0.5
Grambling,0,1,1,0.0
Grand Canyon,0,0,0,
Green Bay,0,1,1,0.0
Hampton,0,0,0,
Harvard,0,0,0,
Hawaii,0,0,0,
High Point,0,0,0,
Hofstra,0,0,0,
Holy Cross,0,1,1,0.0
Houston,3,5,8,0.375
Houston Christian,0,1,1,0.0
Howard,0,1,1,0.0
Idaho,0,0,0,
Idaho State,0,0,0,
Illinois,5,5,10,0.5
Illinois State,0,0,0,
Illinois-Chicago,0,0,0,
Incarnate Word,0,0,0,
Indiana,1,7,8,0.125
Indiana State,0,1,1,0.0
Iona,0,0,0,
Iowa,1,7,8,0.125
Iowa State,4,4,8,0.5
IU Indy,0,0,0,
Jackson State,0,4,4,0.0
Jacksonville,0,0,0,
Jacksonville State,0,0,0,
James Madison,0,1,1,0.0
Kansas,6,5,11,0.545
Kansas City,0,0,0,
Kansas State,0,7,7,0.0
Kennesaw State,0,1,1,0.0
Kent State,0,1,1,0.0
Kentucky,4,8,12,0.333
La Salle,0,1,1,0.0
Lafayette,0,0,0,
